command	numseqs	k	ss	time(s)
prep	25			7.986271142959595
ctree	25	6	500	9.004791498184204
ctree	25	6	750	9.136860370635986
ctree	25	6	1000	11.425053358078003
ctree	25	6	2500	8.699234247207642
ctree	25	6	5000	9.520938396453857
ctree	25	6	7500	8.893117666244507
ctree	25	6	10000	8.86379098892212
ctree	25	8	500	9.820580959320068
ctree	25	8	750	9.561887979507446
ctree	25	8	1000	9.734861135482788
ctree	25	8	2500	10.661365509033203
ctree	25	8	5000	9.663798570632935
ctree	25	8	7500	9.609188318252563
ctree	25	8	10000	9.515423059463501
ctree	25	10	500	12.421510457992554
ctree	25	10	750	12.458177328109741
ctree	25	10	1000	13.186559677124023
ctree	25	10	2500	12.550798892974854
ctree	25	10	5000	12.628632545471191
ctree	25	10	7500	12.365868091583252
ctree	25	10	10000	13.595983028411865
ctree	25	12	500	15.10972547531128
ctree	25	12	750	15.565074920654297
ctree	25	12	1000	14.947489976882935
ctree	25	12	2500	16.05493688583374
ctree	25	12	5000	15.922393083572388
ctree	25	12	7500	15.244043588638306
ctree	25	12	10000	15.73664927482605
ctree	25	14	500	17.66864538192749
ctree	25	14	750	16.467233180999756
ctree	25	14	1000	16.631906270980835
ctree	25	14	2500	16.598335027694702
ctree	25	14	5000	17.319211721420288
ctree	25	14	7500	16.841745138168335
ctree	25	14	10000	16.78563356399536
ctree	25	16	500	18.075422286987305
ctree	25	16	750	17.274293422698975
ctree	25	16	1000	17.00963258743286
ctree	25	16	2500	16.40681219100952
ctree	25	16	5000	17.72074794769287
ctree	25	16	7500	17.321285247802734
ctree	25	16	10000	16.867827892303467
ctree	25	18	500	18.34842348098755
ctree	25	18	750	17.373998165130615
ctree	25	18	1000	16.800490379333496
ctree	25	18	2500	17.61176061630249
ctree	25	18	5000	17.35199475288391
ctree	25	18	7500	16.948734045028687
ctree	25	18	10000	17.00378131866455
prep	50			14.459192037582397
ctree	50	6	500	12.948073863983154
ctree	50	6	750	12.417429447174072
ctree	50	6	1000	12.397889852523804
ctree	50	6	2500	12.689927101135254
ctree	50	6	5000	13.345803499221802
ctree	50	6	7500	12.8622567653656
ctree	50	6	10000	12.440414905548096
ctree	50	8	500	13.984511375427246
ctree	50	8	750	15.244610071182251
ctree	50	8	1000	14.0991849899292
ctree	50	8	2500	14.256618738174438
ctree	50	8	5000	14.21036410331726
ctree	50	8	7500	15.738389730453491
ctree	50	8	10000	14.634547710418701
ctree	50	10	500	20.137653827667236
ctree	50	10	750	20.382840394973755
ctree	50	10	1000	20.93512225151062
ctree	50	10	2500	19.763429641723633
ctree	50	10	5000	20.323652029037476
ctree	50	10	7500	20.41207456588745
ctree	50	10	10000	20.290040731430054
ctree	50	12	500	26.08156442642212
ctree	50	12	750	25.432505130767822
ctree	50	12	1000	24.805720329284668
ctree	50	12	2500	26.04089665412903
ctree	50	12	5000	24.298794984817505
ctree	50	12	7500	25.595439672470093
ctree	50	12	10000	25.100276470184326
ctree	50	14	500	27.21785283088684
ctree	50	14	750	27.00932264328003
ctree	50	14	1000	26.9587881565094
ctree	50	14	2500	27.246580839157104
ctree	50	14	5000	27.028470754623413
ctree	50	14	7500	27.827988862991333
ctree	50	14	10000	26.537789821624756
ctree	50	16	500	28.245910167694092
ctree	50	16	750	27.59990096092224
ctree	50	16	1000	28.018327713012695
ctree	50	16	2500	26.996203422546387
ctree	50	16	5000	28.198150157928467
ctree	50	16	7500	26.731871366500854
ctree	50	16	10000	27.77811074256897
ctree	50	18	500	27.213091373443604
ctree	50	18	750	27.360002756118774
ctree	50	18	1000	27.58917760848999
ctree	50	18	2500	26.708719968795776
ctree	50	18	5000	27.772550106048584
ctree	50	18	7500	26.49764370918274
ctree	50	18	10000	27.053617238998413
prep	75			15.340848684310913
ctree	75	6	500	16.61124587059021
ctree	75	6	750	16.672938585281372
ctree	75	6	1000	16.457589626312256
ctree	75	6	2500	16.34757685661316
ctree	75	6	5000	16.435240030288696
ctree	75	6	7500	16.754175662994385
ctree	75	6	10000	16.586726903915405
ctree	75	8	500	18.87400245666504
ctree	75	8	750	19.379921913146973
ctree	75	8	1000	18.592392921447754
ctree	75	8	2500	18.59904646873474
ctree	75	8	5000	18.482216358184814
ctree	75	8	7500	18.418904304504395
ctree	75	8	10000	18.515690088272095
ctree	75	10	500	27.819255590438843
ctree	75	10	750	26.890928268432617
ctree	75	10	1000	27.25677251815796
ctree	75	10	2500	27.231536388397217
ctree	75	10	5000	27.268049240112305
ctree	75	10	7500	27.816168308258057
ctree	75	10	10000	26.89354157447815
ctree	75	12	500	34.40404963493347
ctree	75	12	750	33.68161129951477
ctree	75	12	1000	34.36681413650513
ctree	75	12	2500	33.96133589744568
ctree	75	12	5000	33.66826105117798
