k	min_size	max_size	stat	(p-value<0.05)%
2	5	30	stdev	22.33009708737864
2	5	30	cov	23.300970873786408
2	10	30	stdev	26.21359223300971
2	10	30	cov	18.446601941747574
3	5	30	stdev	50.48543689320388
3	5	30	cov	27.184466019417474
3	10	30	stdev	36.89320388349515
3	10	30	cov	23.300970873786408
4	5	30	stdev	57.28155339805825
4	5	30	cov	48.54368932038835
4	10	30	stdev	61.16504854368932
4	10	30	cov	39.80582524271845
5	5	30	stdev	74.75728155339806
5	5	30	cov	69.90291262135922
5	10	30	stdev	73.7864077669903
5	10	30	cov	66.01941747572816
6	5	30	stdev	87.37864077669903
6	5	30	cov	69.90291262135922
6	10	30	stdev	84.46601941747574
6	10	30	cov	65.04854368932038
7	5	30	stdev	93.20388349514563
7	5	30	cov	95.14563106796116
7	10	30	stdev	85.4368932038835
7	10	30	cov	96.11650485436893
8	5	30	stdev	93.20388349514563
8	5	30	cov	91.2621359223301
8	10	30	stdev	85.4368932038835
8	10	30	cov	93.20388349514563
9	5	30	stdev	96.11650485436893
9	5	30	cov	91.2621359223301
9	10	30	stdev	85.4368932038835
9	10	30	cov	93.20388349514563
10	5	30	stdev	97.0873786407767
10	5	30	cov	86.40776699029126
10	10	30	stdev	90.29126213592232
10	10	30	cov	94.1747572815534
2	5	30	stdev	28.155339805825243
2	5	30	cov	18.446601941747574
2	10	30	stdev	25.24271844660194
2	10	30	cov	16.50485436893204
3	5	30	stdev	46.601941747572816
3	5	30	cov	26.21359223300971
3	10	30	stdev	42.71844660194175
3	10	30	cov	23.300970873786408
4	5	30	stdev	57.28155339805825
4	5	30	cov	38.83495145631068
4	10	30	stdev	57.28155339805825
4	10	30	cov	39.80582524271845
5	5	30	stdev	75.72815533980582
5	5	30	cov	47.57281553398058
5	10	30	stdev	75.72815533980582
5	10	30	cov	55.33980582524272
6	5	30	stdev	84.46601941747574
6	5	30	cov	71.84466019417475
6	10	30	stdev	83.49514563106796
6	10	30	cov	71.84466019417475
7	5	30	stdev	93.20388349514563
7	5	30	cov	81.55339805825243
7	10	30	stdev	89.32038834951456
7	10	30	cov	77.66990291262135
8	5	30	stdev	92.23300970873787
8	5	30	cov	92.23300970873787
8	10	30	stdev	88.3495145631068
8	10	30	cov	94.1747572815534
9	5	30	stdev	96.11650485436893
9	5	30	cov	83.49514563106796
9	10	30	stdev	86.40776699029126
9	10	30	cov	90.29126213592232
10	5	30	stdev	98.05825242718447
10	5	30	cov	83.49514563106796
10	10	30	stdev	88.3495145631068
10	10	30	cov	95.14563106796116
2	5	30	stdev	22.33009708737864
2	5	30	cov	26.21359223300971
2	10	30	stdev	23.300970873786408
2	10	30	cov	19.41747572815534
3	5	30	stdev	53.398058252427184
3	5	30	cov	34.95145631067961
3	10	30	stdev	34.95145631067961
3	10	30	cov	22.33009708737864
4	5	30	stdev	62.13592233009709
4	5	30	cov	44.66019417475728
4	10	30	stdev	54.36893203883495
4	10	30	cov	34.95145631067961
5	5	30	stdev	75.72815533980582
5	5	30	cov	71.84466019417475
5	10	30	stdev	77.66990291262135
5	10	30	cov	49.51456310679612
6	5	30	stdev	86.40776699029126
6	5	30	cov	77.66990291262135
6	10	30	stdev	82.52427184466019
6	10	30	cov	77.66990291262135
7	5	30	stdev	90.29126213592232
7	5	30	cov	91.2621359223301
7	10	30	stdev	87.37864077669903
7	10	30	cov	85.4368932038835
8	5	30	stdev	97.0873786407767
8	5	30	cov	91.2621359223301
8	10	30	stdev	87.37864077669903
8	10	30	cov	93.20388349514563
9	5	30	stdev	97.0873786407767
9	5	30	cov	87.37864077669903
9	10	30	stdev	89.32038834951456
9	10	30	cov	94.1747572815534
10	5	30	stdev	98.05825242718447
10	5	30	cov	94.1747572815534
10	10	30	stdev	75.72815533980582
10	10	30	cov	95.14563106796116
